code,name,eog_score_EDS
320323,Durham School of the Arts,61.4
320324,Hillandale Elementary,37.8
320325,Hillside High,30.1
320327,Hope Valley Elementary,46.4
320328,Holt Elementary,41.1
320329,Holton Career and Resource Center,N/A
320332,Forest View Elementary,36
320336,DPS Hospital School,N/A
320338,James E Shepard Middle,30.5
320339,Lakewood Elementary,38.3
320340,Little River K-8 School,47.2
320341,Lakeview School,N/A
320342,Lakewood Montessori Middle,42.9
320343,Lucas Middle,33.2
320344,Fayetteville Street Elementary,23.8
320346,Lowe's Grove Middle,33.2
320347,George Watts Elementary,36.3
320348,Mangum Elementary,61
320352,Merrick-Moore Elementary,30.7
320353,Middle College HS @ DTCC,N/A
320354,Morehead Montessori,43.3
320355,Neal Middle,32.7
320360,Oak Grove Elementary,38.8
320362,Parkwood Elementary,30.4
320363,E K Powe Elementary,21.9
320364,Pearsontown Elementary,50.8
320366,Sherwood Githens Middle,32.1
320367,R N Harris Elementary,41.6
260322,Douglas Byrd High,25.7
320369,Sandy Ridge Elementary,39.8
320370,Rogers-Herr Middle,45.3
320372,Southwest Elementary,38.1
320374,C C Spaulding Elementary,22.5
320376,Spring Valley Elementary,35.5
320388,W G Pearson Elementary,32.3
320400,Y E Smith Elementary,29.4
320701,Hillside New Tech High,32.1
330304,G W Bulluck Elementary,37.1
330308,G W Carver Elementary,39.8
330312,Coker-Wimberly Elementary,28.5
330326,Edgecombe Early College High,N/A
330328,North Edgecombe High,29
330332,Phillips Middle,15.7
330334,Princeville Elementary,32.6
330340,South Edgecombe Middle,27.5
330344,W A Pattillo Middle,25.5
330348,West Edgecombe Middle,38.3
330354,Stocks Elementary,21.8
260446,Terry Sanford High,31.3
330360,Martin Millennium Academy,34.8
340308,Ashley Academy,16.8
340311,Atkins Academic & Tech High,66.9
340314,Bolton Elementary,32.4
340320,Brunson Elementary,30.2
340326,Caleb's Creek Elementary,54.4
340332,Career Center,N/A
340334,Cash Elementary,54.7
340336,Carter High School,N/A
340344,Childrens Center,N/A
340348,Clemmons Elementary,72.6
340350,Clemmons Middle School,49.4
340351,Cook Literacy Model School,26.8
340354,The Downtown School,58.3
340362,Early College of Forsyth Co,N/A
340366,East Forsyth Middle School,23.8
340368,Easton Elementary School,18.9
340372,Flat Rock Middle,36.8
340376,Forest Park Elementary,24.6
340380,Gibson Elementary,40.8
290365,South Davidson High,33
290388,West Davidson High,38.9
340384,Griffith Elementary,34.2
340385,Main Street Academy,N/A
340390,Hall-Woodward Elementary,31.6
340392,Hanes Magnet School,38
340398,Homebound/ Hospital Education,N/A
340400,Ibraham Elementary,16
340403,Jefferson Elementary,56.9
340406,Thomas Jefferson Middle,48.7
340416,Kernersville Elementary,55.3
340420,Kernersville Middle,53.1
340424,Kimberley Park Elementary,11.6
340426,Kimmel Farm Elementary,47.3
340427,Kingswood School,N/A
340428,Konnoak Elementary,37.2
340430,Diggs-Latham Elementary,29
340432,Lewisville Elementary,70.3
340436,Lowrance Middle,N/A
340440,Meadowlark Elementary,73.8
340442,Meadowlark Middle,64.5
340446,Middle College of Forsyth Cnty,N/A
340448,Mineral Springs Elementary,44.3
340452,Mineral Springs Middle,29
340453,Moore Magnet Elementary,35.1
340454,Mount Tabor High School,28.7
340457,Frank Morgan Elementary,58
340462,North Hills Elementary,29.2
340464,Northwest Middle,33.1
340472,Old Richmond Elementary,56.4
340476,Old Town Elementary,25
340480,Paisley IB Magnet School,37.2
340488,J F Kennedy High,33.3
340490,Petree Elementary,15.1
340492,Philo-Hill Magnet Academy,13.6
340494,Piney Grove Elementary,47.6
340495,Ronald W Reagan High School,55.3
340496,R J Reynolds High,37.9
320312,C E Jordan High,23.5
340504,Rural Hall Elementary,42
340508,Sedge Garden Elementary,50.8
340512,Sherwood Forest Elementary,58.8
340514,Smith Farm Elementary,24.5
340516,Southeast Middle,41.7
340520,South Fork Elementary,48.8
340528,Southwest Elementary,59.1
340530,Speas Elementary,38.4
340531,The Special Children's School,N/A
340532,Union Cross Traditional Acad,39.8
340536,Vienna Elementary,62.5
340540,Walkertown Elementary,44
340542,Walkertown High,40.9
340544,Walkertown Middle,42.6
340548,Ward Elementary,37.3
340556,West Forsyth High,45.8
340560,Whitaker Elementary,63.1
340564,Wiley Magnet Middle,31
340568,Winston-Salem Preparatory Acad,14.2
350304,Bunn Elementary,56.6
350308,Bunn High,51.3
320356,Northern High,23.4
350310,Bunn Middle,47.3
350312,Cedar Creek Middle,39.6
350316,Edward Best Elementary,58.2
350317,Franklin County Early College,81.1
350318,Franklinton Elementary,44.4
350321,Franklinton High,41.5
350324,Franklinton Middle,39.5
350330,Laurel Mill Elementary,52.7
350331,Long Mill Elementary,59
350332,Louisburg Elementary,45
320365,Riverside High,32.8
350336,Louisburg High,37.7
350338,Terrell Lane Middle,48
350339,Royal Elementary,42.8
350340,Youngsville Elementary,56.8
360310,Ashbrook High,47.6
360320,Belmont Central Elementary,56.8
360324,Belmont Middle,52.1
360332,Bessemer City Central Elem,24.9
320368,Southern School of Energy and Sustainabi,27.3
360337,Gaston Early College High School,>95
360338,Bessemer City Primary,N/A
360339,W B Beam Intermediate School,40.7
360340,Brookside Elementary,35
360344,Carr Elementary,48.7
360348,Catawba Heights Elementary,48.7
360352,Chapel Grove Elementary,40
360360,Cherryville High,58.2
360364,Cherryville Elementary,72.4
360372,Warlick Academy,N/A
360376,Costner Elementary,46.1
360378,Stuart W Cramer High,51.7
330350,SouthWest Edgecombe High,25.9
360380,Cramerton Middle,67
360390,East Gaston High,56.5
360392,Edward D Sadler Jr Elementary School,38
360394,Webb Street School,N/A
360396,Forestview High,50.7
360400,Gardner Park Elementary,43.2
360408,W P Grier Middle School,35.5
360418,Highland Sch of Technology,>95
360420,Hawks Nest STEAM Academy,69.8
360426,Holbrook Middle,47.9
330358,Tarboro High,25
360428,Hunter Huss High,36.8
360430,J B Page Primary School,N/A
360431,John Chavis Middle School,46.9
360432,Kiser Elementary,46.6
360436,Bessemer City Middle,36.8
360438,Lingerfeldt Elementary,26.4
360440,Lowell Elementary,43.8
360448,McAdenville Elementary,42.4
360456,Mount Holly Middle,48
360464,New Hope Elementary,50.8
360468,North Belmont Elementary,40.9
360470,North Gaston High,40.1
360478,Pinewood Elementary,54.2
360480,Pleasant Ridge Elementary,38.1
360482,Ida Rankin Elementary School,46.4
360488,Robinson Elementary,45.7
360490,Sherwood Elementary,36.2
360492,H H Beam Elementary,28.2
360494,South Point High,55.5
360498,Southwest Middle,42.4
360499,Springfield Primary,N/A
360500,Stanley Middle,44.8
360504,Tryon Elementary,38.8
360510,W A Bess Elementary School,65.1
360514,W C Friday Middle School,47.3
360520,Woodhill Elementary,31.3
360526,York Chester Middle,41.5
360550,Gaston Virtual Academy,N/A
370304,Buckland Elementary,44.4
370308,Central Middle School,43.9
370312,Gates County Senior High,35.6
370316,Gatesville Elementary,55.8
370324,T S Cooper Elementary,33.9
380306,Robbinsville Elementary,48.7
380308,Robbinsville High,44.5
380310,Robbinsville Middle,41
390309,Butner-Stem Middle,39.8
390311,Butner-Stem Elementary,37.9
390312,C. G. Credle Elementary,37.6
390314,Phoenix Academy,N/A
390316,Creedmoor Elementary,38.7
390320,G. C. Hawley Middle,38.6
390321,Granville Academy,49.1
390322,Granville Central High,40.6
340330,Carver High,24.6
390323,Granville Early College High,93.9
340364,East Forsyth High,33
390331,Mary Potter Middle,35
390333,Mount Energy Elementary,58.9
390334,Northern Granville Middle,29.5
390336,Joe Toler-Oak Hill Elementary,50
390352,South Granville High,47.5
390360,Stovall-Shaw Elementary,38.5
390362,Tar River Elementary,52.1
390364,West Oxford Elementary,30.4
390368,Wilton Elementary,60.8
400308,Greene Central High,30.7
340382,Robert B Glenn High School,30.1
400312,Greene County Middle,32.1
400315,Greene Early College High,85.7
400318,Greene County Intermediate,37.3
400321,Snow Hill Primary,N/A
400332,West Greene Elementary,36.3
410304,Alamance Elementary,60.2
410307,Edwin A Alderman Elementary,48.1
410310,Allen Jay Elementary,35.5
410311,Allen Jay Middle - A Preparatory Academy,47.6
410313,Southern Guilford Middle,36.1
410316,Allen Middle,36.2
410319,T Wingate Andrews High,24.5
410322,Archer Elementary,44.8
410325,Swann Middle School,28.9
410326,Middle College High at Bennett,N/A
410328,Bessemer Elementary,33.9
410331,Bluford Elementary,24.8
410334,Brightwood Elementary,36.3
410337,Brooks Global Elementary,70.8
410340,Monticello-Brown Summit Elem,36.9
410341,Brown Summit Middle,>95
410343,Claxton Elementary,47.5
410346,Colfax Elementary,61.2
410349,Ceasar Cone Elementary,21.6
340460,North Forsyth High,21.4
410358,Eastern Guilford High,28.1
410361,Erwin Montessori,57.6
410364,Fairview Elementary,29.3
410366,Waldo C Falkener Sr Elementary,30.9
410367,Ferndale Middle,27.3
410370,Florence Elementary,62.4
410373,Julius I Foust Elementary,36.3
410376,Cyrus P Frazier Elementary,39.1
410379,Gateway Education Center,N/A
410382,Gibsonville Elementary,58.3
410385,Gillespie Park Elementary,29.2
410388,General Greene Elementary,55.4
410390,GC Middle College High,N/A
410391,Penn-Griffin Schools,41.3
410394,Grimsley High,43.3
410395,Early College at Guilford,N/A
410397,Western Guilford Middle,42.5
410398,Doris Henderson Newcomers Sch,N/A
410399,Middle College at GTCC-Greensboro,82.5
410400,Guilford Elementary,52.4
410401,GTCC Middle College High,60.5
410402,Otis L Hairston Sr Middle,26.9
410403,Hampton Elem Univ Partnership,40.7
340486,Parkland High,22.6
410406,High Point Central High,35.3
410407,Kearns Academy,N/A
410409,Hunter Elementary,51.9
410412,Irving Park Elementary,32.4
410415,Jackson Middle,32.7
410418,Jamestown Elementary,48.5
410421,Jamestown Middle,41.4
410423,Jefferson Elementary,53.8
410424,Jesse Wharton Elem,54.2
410427,Johnson Street Global Studies,39
410430,David D Jones Elementary,42.7
410436,James Y Joyner Elementary,43.1
410437,Kernodle Middle,63.1
410439,Kirkman Park Elementary,27.2
410442,Kiser Middle,43.9
410448,Lincoln Academy,45.6
410451,John Van Lindley Elementary,46.6
410454,Madison Elementary,46.6
410457,Herbin Metz Education Center,N/A
410458,C Joyner Greene Education Center,N/A
410460,Eastern Guilford Middle,34.6
410461,McLeansville Elementary,45.2
410462,Ronald E. McNair Elementary,36.7
410463,Mendenhall Middle,40.4
410464,Haynes Inman Education Center,N/A
410466,Millis Road Elementary,61.3
410469,Montlieu Academy of Technology,28.4
410472,Morehead Elementary,63.8
410478,Murphey Traditional Academy,31.1
410481,Nathanael Greene Elementary,31.3
410483,Middle College at NC A&T,57.5
410484,Northeast Guilford High,34.7
410486,Northern Guilford Elementary,58.5
410487,Northeast Guilford Middle,34.2
410488,Northern Guilford Middle,47.8
410489,Northern Guilford High,36.4
410490,Northwest Guilford High,60.7
410491,EP Pearce Elementary,66.9
410493,Northwest Guilford Middle,46.8
410496,Northwood Elementary,30
410499,Oak Hill Elementary,38.6
410502,Oak Ridge Elementary,51.4
410505,Oak View Elementary,28.3
410508,Page High,26.1
410511,Parkview Village Elementary,32.1
410514,Clara J Peck Elementary,31
410517,Peeler Open Elementary,26.8
410522,Pilot Elementary,39.8
410523,Pleasant Garden Elementary,47.5
410529,Lucy Ragsdale High,39.4
410530,Reedy Fork Elementary,37.5
410532,Rankin Elementary,31.5
410533,SCALE School,N/A
410534,Pruette SCALE Academy,N/A
410535,Sedalia Elementary,48.2
410538,Sedgefield Elementary,35.1
410541,Shadybrook Elementary,47.3
410542,George C Simkins Jr Elementary,43
360336,Bessemer City High,18.1
410545,Academy at Smith,54.5
410547,Southeast Guilford High,40.3
410550,Southeast Guilford Middle,47.4
410553,Southern Elementary,56.9
410556,Southern Guilford High,30.7
410559,Southwest Elementary,72.6
410562,Southwest Guilford High,34.7
410565,Southwest Guilford Middle,38.2
410568,Sternberger Elementary,48.4
410569,STEM Early College @ NC A&T SU,>95
410571,Stokesdale Elementary,42.5
410574,Summerfield Elementary,62.4
410577,Sumner Elementary,39.2
410578,Triangle Lake Montessori Elem,48.1
410579,UNCG Early/Middle College,82.9
410580,Union Hill Elementary,41.5
410583,Vandalia Elementary,27.1
410586,Washington Elementary,25.7
410589,Philip J Weaver Ed Center,N/A
410592,Welborn Middle,28.2
410595,Western Guilford High,38.4
410598,Wiley Accel/Enrichment,20.2
420304,Aurelian Springs Institute of Global Lea,46.3
420316,Scotland Neck Elementary Leadership Acad,28.1
420324,Enfield Middle S.T.E.A.M. Academy,30.5
420328,Everetts Elementary S.T.E.M. Academy,30.6
420336,Hollister Elementary Leadership Academy,55.4
420340,Inborden Elementary S.T.E.A.M. Academy,40.7
420348,Pittman Elementary Leadership Academy,45.5
420376,William R Davie Middle S.T.E.M. Academy,31.4
421304,Belmont Elementary School,37
421306,Chaloner Middle School,48.1
390324,J. F. Webb High,21.7
421316,Roanoke Rapids High School,32.8
421328,Manning Elementary School,51.6
421336,Roanoke Rapids Early College High,55.6
422310,Roanoke Valley Early College,N/A
422314,Weldon Elementary Global Academy,21.2
390700,JF Webb HS Of Health And Life Sciences,30.9
422318,Weldon Middle,29.9
430304,Anderson Creek Primary,N/A
430308,Angier Elementary,35.1
430312,Benhaven Elementary,59.1
430316,Boone Trail Elementary,41.4
430320,Buies Creek Elementary,37.7
430328,Coats Elementary,41.3
430330,Coats-Erwin Middle,48.8
430332,Dunn Middle,35.5
430336,Erwin Elementary,38.5
430340,Gentry Primary,N/A
430341,Harnett Early College (HCEC),81.8
430344,Harnett Primary,44.8
430345,STAR Academy,N/A
430346,Harnett Central High,34.3
430347,Harnett Central Middle,33.9
430348,Johnsonville Elementary,44.8
430349,Highland Elementary,47.9
430351,Highland Middle,37.9
430352,LaFayette Elementary,57.4
430358,Lillington-Shawtown Elementary,45.3
430368,North Harnett Primary,N/A
430369,Overhills Elementary,44.4
430370,Overhills Middle,43.6
430371,Overhills High,44.2
430376,South Harnett Elementary,39.4
430378,Triton High,30.4
430380,Wayne Avenue Elem,23.5
430384,Western Harnett High,40
430386,Western Harnett Middle,44
440314,Bethel Elementary,66.9
440318,Bethel Middle,58.8
440320,Canton Middle,44.8
440326,Central Haywood High,N/A
440328,Clyde Elementary,54
440332,Riverbend Elementary,83.7
440346,Haywood Early College,>95
440348,Hazelwood Elementary,44
440349,Jonathan Valley Elementary,52.5
440350,Junaluska Elementary,59.9
440364,Meadowbrook Elementary,52.2
440368,North Canton Elementary,57.7
440378,Pisgah High,57.4
410355,James B Dudley High,27.9
440390,Tuscola High,41.9
440396,Waynesville Middle,48.7
450301,Apple Valley Middle,49.9
450302,Atkinson Elementary,73.3
450306,Bruce Drysdale Elementary,42.5
450307,Clear Creek Elementary,69.3
450308,Dana Elementary,48.9
450316,East Henderson High,51
450322,Edneyville Elementary,53.9
450324,Etowah Elementary,67
450328,Flat Rock Middle,53.4
450332,Fletcher Elementary,59.2
450333,Hendersonville Elementary,66.9
450334,Hendersonville High,47.8
450335,Hendersonville Middle,55.8
450336,Hillandale Elementary,51.8
450339,Glenn C Marlow Elementary,67.4
450340,Mills River Elementary,60.7
450341,North Henderson High,61.5
450342,Rugby Middle,61.4
450343,Henderson County Career Academy,N/A
450344,Sugarloaf Elementary,43.5
450346,Upward Elementary,46.4
450352,West Henderson High,50.3
450354,Henderson County Early College,>95
460308,Ahoskie Elementary,27.9
460312,Bearfield Primary,62.3
460318,Hertford County Middle,23.4
410408,Middle College at GTCC-High Point,53.8
460322,Hertford Co Early College,82.5
460332,Riverview Elementary,39.6
460340,CS Brown High,N/A
470310,Don D Steed Elementary,69.9
470312,Hoke County High,39.7
470316,J W McLauchlin Elementary,48
470320,West Hoke Middle,44.5
470328,Scurlock Elementary,37.7
470330,Hawk Eye Elementary,40.2
470332,East Hoke Middle,38.9
470336,West Hoke Elementary,58.8
470340,Rockfish Hoke Elementary,59.2
470342,J W Turlington School,N/A
470346,Upchurch Elementary,50.9
470441,Sandy Grove Elementary,41.1
470442,Sandy Grove Middle,44.7
470443,SandHoke Early College High,69.7
480306,Mattamuskeet Elementary,38.4
480316,Ocracoke School,77.4
480318,Mattamuskeet Early College High,42.9
490307,Agriculture and Science Early College,N/A
490308,Brawley Middle,45.2
490310,Career Academy and Technical School,N/A
490312,Celeste Henkel Elementary,51.8
490316,Central Elementary,73.9
490318,Coddle Creek Elementary,51.8
490319,Cloverleaf Elementary,28.5
490320,Collaborative College for Technology,>95
490324,Cool Spring Elementary,58.9
490326,East Iredell Elementary,44
490327,East Iredell Middle,32.6
490332,Harmony Elementary,54.5
490335,Lake Norman High,38
490336,Lake Norman Elementary,62.1
490337,Lakeshore Elementary,44.3
490338,Lakeshore Middle,47.5
490344,Mount Mourne School,91.2
490345,N B Mills Elementary,27.5
490347,Northview School,93.3
490348,Scotts Elementary,55.8
490349,North Iredell Middle,46
490350,Pressly School,N/A
490352,Statesville Middle,21.2
410544,Ben L. Smith High School,22
490355,Crossroads Arts Sciences Early College,88.3
490356,Sharon Elementary,65.2
490360,Shepherd Elementary,47
490362,South Iredell High,35.8
490363,Third Creek Elementary,44.7
490364,Troutman Elementary,46.1
490366,Troutman Middle,38.8
490368,Union Grove Elementary,34.5
490384,West Iredell Middle,42.2
490390,Woodland Heights Elementary,44.2
491303,East Mooresville Intermediate,50.4
491305,NF Woods Campus,N/A
491306,Mooresville Intermediate,54.7
491308,Mooresville Middle,48.1
491312,Mooresville High School,49.5
491316,Park View Elementary,62
491318,Rocky River Elementary,71.2
491320,South Elementary,66.4
500302,Blue Ridge Early College,46.3
500304,Cullowhee Valley School,43.9
500314,Fairview Elementary,51.7
500316,Blue Ridge School,33.8
500323,Jackson Co Early College,N/A
500324,Jackson Co Sch of Alternatives,N/A
500332,Scotts Creek Elementary,45
500337,Smokey Mountain Elementary,35.9
500340,Smoky Mountain High School,59.9
510308,Benson Elementary,29.4
510310,Benson Middle,31.9
510325,Johnston County Schools Career Technical,89.6
510326,West Clayton Elementary,32.7
510327,Cleveland High,45.2
510328,Cleveland Elementary,43.1
510329,Cleveland Middle,41.1
510330,Cooper Academy,25
510332,Corinth-Holders Elementary,33
510333,Corinth Holders High,42.3
510334,Dixon Road Elementary,48.6
510336,East Clayton Elementary,40.7
510340,Four Oaks Elementary,43.1
510342,Four Oaks Middle,40.2
510343,Micro Elementary,31.5
510344,North Johnston Middle,27.1
510356,Glendale-Kenly Elementary,46.2
510358,McGee's Crossroads Elem,41.4
510359,McGee's Crossroads Middle,41.8
510360,Meadow School,43.4
510364,Archer Lodge Middle,37.1
510367,Johnston Co Early College Academy,86.4
420346,Northwest Halifax Collegiate and Technic,33.6
510372,Pine Level Elementary,35.3
510373,Powhatan Elementary,44
510374,Princeton Elementary,40.3
510376,Princeton High,44.5
510377,River Dell Elementary,44.1
510378,Riverwood Elementary,51.1
510379,Riverwood Middle,40.1
510382,The Innovation Academy at South Campus,56.3
510388,Selma Elementary,31.3
510390,Selma Middle School,19.8
510396,West Smithfield Elementary,22.4
510397,Smithfield Middle,36.5
420358,Southeast Halifax Collegiate Prep Academ,9.1
510404,South Smithfield Elementary,26.5
510406,West Johnston High,32.6
510408,Wilson's Mills Elementary,35.1
510410,Polenta Elementary,36.7
510411,Swift Creek Middle,43
510412,Clayton Middle,32.1
510414,West View Elementary,43.4
520304,Pollocksville Elementary,51
520308,Comfort Elementary,51.6
520320,Jones Senior High,40.9
520324,Jones Middle,51.5
520328,Maysville Elementary,57.3
520336,Trenton Elementary,59.9
530302,BT Bullock Elementary,51.1
530306,Bragg Street Academy,N/A
530308,Broadway Elementary,43.3
530312,Deep River Elementary,55.6
530314,East Lee Middle,39.3
530316,Floyd L Knight Children Center,N/A
530320,Greenwood Elementary,53.7
530335,Lee Early College,87.8
460320,Hertford County High,20.3
530340,J Glenn Edwards Elementary,57.2
530341,SanLee Middle School,46
530343,Southern Lee High School,36.8
530346,Tramway Elementary,56.7
530354,J R Ingram Jr Elementary,48.8
530356,West Lee Middle,37.4
530358,Warren Williams Elementary Alternative,N/A
540304,Banks Elementary,44.5
540308,Contentnea-Savannah School,40.8
540312,E B Frink Middle,42.1
181322,Hickory High,29
540316,La Grange Elementary,42.5
540317,Lenoir County Early College High,87.9
540318,Lenoir County Learning Academy,N/A
540320,Moss Hill Elementary,64
540325,Northeast Elementary,30.3
540326,Northwest Elementary,36.2
540328,Pink Hill Elementary,53.6
540330,Rochelle Middle,25.1
540336,South Lenoir High,43.7
540338,Southeast Elementary,36.2
540340,Southwood Elementary,45.5
540344,Woodington Middle,44
550308,Asbury Academy,N/A
550312,Battleground Elementary,38.5
550314,Catawba Springs Elementary,66.3
550316,GE Massey Elementary,56.6
490346,North Iredell High,24.9
550320,East Lincoln High,38.5
550322,East Lincoln Middle,51
550328,Iron Station Elementary,54.3
550330,LCST,N/A
550332,Lincolnton High,46.2
550334,Lincolnton Middle,51.6
550336,Love Memorial Elementary,60.5
550340,Childers Elementary,47
550342,North Brook Elementary,51
550344,North Lincoln High,62.9
550348,Pumpkin Center Primary,N/A
550349,Pumpkin Center Intermediate,53.7
550350,North Lincoln Middle,54
550356,Rock Springs Elementary,64.1
550360,S Ray Lowder Elementary,45
550362,St James Elementary,58.1
550364,Union Elementary,75.4
550368,West Lincoln High,41.5
550372,West Lincoln Middle,50
560304,Cartoogechaye Elementary,46.9
560316,East Franklin Elementary,35.4
560320,Franklin High,57
490354,Statesville High,20
560324,Highlands School,65.1
560328,Iotla Valley Elementary,45.6
560329,Macon Early College High School,N/A
560330,Macon Middle School,57.9
560331,Mountain View Intermediate,51.7
560332,Nantahala School,67.4
560338,South Macon Elementary,72.1
560350,Union Academy,N/A
570306,Brush Creek Elementary,75.6
570312,Hot Springs Elementary,82.3
570317,Madison Early College High,73.3
570318,Madison High School,36.1
570319,Madison Middle School,48.8
570320,Mars Hill Elementary,58.8
580308,Williamston Primary,N/A
580312,E J Hayes Elementary,33.2
580316,South Creek Elementary,30
580324,Jamesville Elementary,51.3
580344,South Creek Middle/High,25
580356,Rodgers Elementary,55.3
580372,Riverside Middle,28.2
590306,Eastfield Global Magnet School,39.4
590310,East McDowell Middle School,43.2
590316,Glenwood Elementary School,54.6
590320,Marion Elementary School,56.6
