affiliate,name,CISNC_school,code,county,city,full_address,long,lat,district
CIS of Lincoln County,West Lincoln Middle School,yes,550372,Lincoln,Lincolnton,"260 Shoal Rd, Lincolnton, NC 28092",-81.389009,35.482262,Lincoln County Schools
CIS of Montgomery County,West Montgomery High,yes,620340,Montgomery,Mount Gilead,"147 Warrior Drive, Mount Gilead, NC 27306",-79.9601527,35.2966485,Montgomery County
CIS of Montgomery County,East Middle School,yes,620314,Montgomery,Biscoe,"130 Merlin's Maze, Biscoe, NC 27209",-79.7737182,35.3369386,Montgomery County
CIS of Montgomery County,East Montgomery High,yes,620316,Montgomery,Biscoe,"157 Eagle Lane, Biscoe, NC 27209",-79.7781321,35.3393946,Montgomery County
CIS of Montgomery County,West Middle School,yes,620339,Montgomery,Mount Gilead,"129 NC Hwy 109S, Mount Gilead, NC 27306",-79.943774,35.318228,Montgomery County
CIS of Rocky Mount Region,Fairview Elementary,yes,640302,Nash,Rocky Mount,"720 N Fairview Rd, Rocky Mount, NC 27801",-77.776051,35.9388429,Nash Rocky Mount
CIS of Rocky Mount Region,Southern Nash High School,yes,640364,Nash,Bailey,"6446 Southern Nash High Road, Bailey, NC 27807",-78.0896618,35.8494038,Nash Rocky Mount
CIS of Rocky Mount Region,Tar River Academy,yes,640340,Nash,Rocky Mount,"224 S. Pearl Street, Rocky Mount, NC 27804",-77.8012553,35.9416026,Nash Rocky Mount
CIS of Rocky Mount Region,Southern Nash Middle School,yes,640362,Nash,Spring Hope,"5301 South NC Highway 581, Spring Hope, NC 27882",-78.0896615,35.8754969,Nash Rocky Mount
CIS of Rocky Mount Region,Northern Nash High,yes,640350,Nash,Rocky Mount,"4230 Green Hills Road, Rocky Mount, NC 27804",-77.892535,35.998602,Nash Rocky Mount
CIS of Cape Fear,Anderson Elementary,yes,650323,New Hanover,Wilmington,"455 Halyburton Drive , Wilmington, NC 28512",-77.9074609,34.1775833,New Hanover
CIS of Cape Fear,Ashley High School,yes,650327,New Hanover,Wilmington,"555 Halyburton Memorial Parkway , Wilmington, NC 28412",-77.9110479,34.1005137,New Hanover
CIS of Cape Fear,Bellamy Elementary,yes,650338,New Hanover,Wilmington,"70 Sanders Rd. , Wilmington, NC 28412",-77.909028,34.122656,New Hanover
CIS of Cape Fear,Blair Elementary,yes,650341,New Hanover,Wilmington,"6510 Market Street , Wilmington, NC 28405",-77.83933,34.2565979,New Hanover
CIS of Cape Fear,Codington Elementary,yes,650366,New Hanover,Wilmington,"4321 Carolina Beach Rd. , Wilmington, NC 28412",-77.9174471,34.1665203,New Hanover
CIS of Cape Fear,Gregory Elementary,yes,650332,New Hanover,Wilmington,"319 S. Tenth St , Wilmington, NC 28401",-77.9362636,34.2322206,New Hanover
CIS of Cape Fear,College Park,yes,650316,New Hanover,Wilmington,"5001 Oriole Dr. , Wilmington, NC 28403",-77.86336,34.236268,New Hanover
CIS of Cape Fear,Castle Hayne Elementary School,yes,650309,New Hanover,Castle Hayne,"3925 Roger Haynes Drive, Castle Hayne, NC 28429",-77.8914786,34.3509008,New Hanover
CIS of Cape Fear,Eaton Elementary,yes,650353,New Hanover,Wilmington,"6701 Gordon Road, Wilmington, NC 28405",-77.8341825,34.2663283,New Hanover
CIS of Cape Fear,Freeman Elementary,yes,650312,New Hanover,Wilmington,"2601 Princess Place Drive, Wilmington, NC 28405",-77.9134872,34.2451529,New Hanover
CIS of Cape Fear,Hoggard High School,yes,650342,New Hanover,Wilmington,"4305 Shipyard Blvd, Wilmington, NC 28403",-77.8921411,34.1998549,New Hanover
CIS of Cape Fear,Holly Shelter Middle School,yes,650343,New Hanover,Castle Hayne,"3921 Roger Haynes Dr, Castle Hayne, NC 28429",-77.8921642,34.350508,New Hanover
CIS of Cape Fear,Holly Tree,yes,650325,New Hanover,Wilmington,"2900 N College Rd, Wilmington, NC 28405",-77.8729674,34.3012724,New Hanover
CIS of Cape Fear,Issac Bear Early College,yes,650340,New Hanover,Wilmington,"630 MacMillan Avenue, Wilmington, NC 28403",-77.8811648,34.2204535,New Hanover
CIS of Cape Fear,Laney High,yes,650326,New Hanover,Wilmington,"2700 N College Rd, Wilmington, NC 28405",-77.871969,34.297823,New Hanover
CIS of Cape Fear,Murray Middle,yes,650310,New Hanover,Wilmington,"655 Halyburton Memorial Parkwy, Wilmington, NC 28412",-77.9075709,34.0985243,New Hanover
CIS of Cape Fear,Murrayville Elementary,yes,650348,New Hanover,Wilmington,"225 Mabee Way, Wilmington, NC 28411",-77.8510147,34.298352,New Hanover
CIS of Cape Fear,Myrtle Grove,yes,650351,New Hanover,Wilmington,"901 Piner Rd, Wilmington, NC 28409",-77.8840061,34.1373085,New Hanover
CIS of Cape Fear,Noble Middle,yes,650350,New Hanover,Wilmington,"6520 Market St, Wilmington, NC 28405",-77.8361856,34.2532655,New Hanover
CIS of Cape Fear,Ogden Elementary,yes,650356,New Hanover,Wilmington,"3637 Middle Sound Rd, Wilmington, NC 28411",-77.809496,34.2661541,New Hanover
CIS of Cape Fear,Pine Valley,yes,650362,New Hanover,Wilmington,"440 John S Mosby Dr, Wilmington, NC 28412",-77.8996547,34.1794746,New Hanover
CIS of Cape Fear,Roland Grise,yes,650364,New Hanover,Wilmington,"4412 Lake Ave, Wilmington, NC 28403",-77.8904359,34.205386,New Hanover
CIS of Cape Fear,Sunset Park Elementary,yes,650368,New Hanover,Wilmington,"613 Alabama Ave, Wilmington, NC 28401",-77.9412036,34.2078187,New Hanover
CIS of Cape Fear,Trask Middle School,yes,650325,New Hanover,Wilmington,"2900 N College Rd, Wilmington, NC 28405",-77.8729674,34.3012724,New Hanover
CIS of Cape Fear,Williams Elementary,yes,110412,Buncombe,Swannanoa,"161 Bee Tree Road, Swannanoa, NC 28778",-82.4025554,35.6042883,New Hanover
CIS of Cape Fear,Wilmington Early College,yes,650394,New Hanover,Castle Hayne,"4500 Blue Clay Rd, WECHS Bldg.ND122, Castle Hayne, NC 28429",-77.8801909,34.3228604,New Hanover
CIS of Cape Fear,New Hanover High**,yes,650352,New Hanover,Wilmington,"1307 Market St, Wilmington, NC 28401",-77.9323226,34.2373594,New Hanover
CIS of Cape Fear,Williston,yes,650392,New Hanover,Wilmington,"401 S 10th St, Wilmington, NC 28401",-77.934147,34.2311,New Hanover
CIS of Cape Fear,Alderman Elementary,yes,650324,New Hanover,Wilmington,"2025 Independence Boulevard , Wilmington, NC 28403",-77.90728,34.205779,New Hanover
CIS of Cape Fear,Career Readiness Academy at Mosley,yes,650355,New Hanover,Wilmington,"3702 Princess Place Drive, Wilmington, NC 28405",-77.900543,34.243048,New Hanover
CIS of Cape Fear,Forest Hills Elementary,yes,650328,New Hanover,Wilmington,"602 Colonial Drive, Wilmington, NC 28403",-77.9140674,34.2304516,New Hanover
CIS of Cape Fear,Snipes Elementary School,yes,650384,New Hanover,Wilmington,"2150 Chestnut Street, Wilmington, NC 28405",-77.9204058,34.2393823,New Hanover
CIS of Cape Fear,Virgo Middle,yes,650409,New Hanover,Wilmington,"813 Nixon St, Wilmington, NC 28401",-77.940458,34.250692,New Hanover
CIS of North Carolina (Direct Service),Northampton County High,yes,660336,Northampton,Gaston,"152 Hurricane Drive, Gaston, NC 27832",-77.652447,36.5108559,Northampton County Schools
CIS of North Carolina (Direct Service),Fred A Anderson Elementary,yes,690312,Pamlico,Bayboro,"515 Anderson Drive, Bayboro, NC 28515",-76.7793944,35.1396514,Pamlico County Schools
CIS of Cape Fear,Burgaw Elementary School,yes,710312,Pender,Burgaw,"400 North Wright Street, Burgaw, NC 28425",-77.928072,34.556515,Pender County Schools
CIS of Cape Fear,Burgaw Middle,yes,710316,Pender,Burgaw,"500 South Wright Street, Burgaw, NC 28425",-77.9245567,34.5450238,Pender County Schools
CIS of Cape Fear,Surf City Elementary,yes,710350,Pender,Holly Ridge,"12345-A Literacy Ln, Hampstead, NC 28443",-77.575036,34.4618621,Pender County Schools
CIS of Cape Fear,Surf City Middle,yes,710352,Pender,Hampstead,"12345-B Literacy Ln, Hampstead, NC 28443",-77.575036,34.4618621,Pender County Schools
CIS of Cape Fear,Cape Fear Elementary,yes,710318,Pender,Rocky Point,"1882 NC Hwy 133, Rocky Point, NC 28457",-77.9166413,34.4066433,Pender County Schools
CIS of Cape Fear,Cape Fear Middle,yes,710320,Pender,Rocky Point,"1886 NC Hwy 133, Rocky Point, NC 28457",-77.9162638,34.4058593,Pender County Schools
CIS of Cape Fear,Heide Trask High School,yes,710321,Pender,Rocky Point,"14328 NC Hwy 210, Rocky Point, NC 28457",-77.8925501,34.4377804,Pender County Schools
CIS of Cape Fear,Malpass Corner,yes,710324,Pender,Burgaw,"4992 Malpass Corner Road, Burgaw, NC 28425",-78.0539806,34.5037157,Pender County Schools
CIS of Cape Fear,North Topsail Elementary,yes,710323,Pender,Hampstead,"1310 Sloop Point Loop Road, Hampstead, NC 28443",-77.6361614,34.3993933,Pender County Schools
CIS of Cape Fear,Pender Early College High,yes,710LEA,Pender,Burgaw,"925 Penderlea Hwy, Burgaw, NC 28425",-77.9405776,34.5528868,Pender County Schools
CIS of Cape Fear,Pender High School,yes,710326,Pender,Burgaw,"5380 NC Hwy 53 W, Burgaw, NC 28425",-78.0123143,34.5452748,Pender County Schools
CIS of Cape Fear,South Topsail,yes,710347,Pender,Hampstead,"997 Hoover Road, Hampstead, NC 28443",-77.713498,34.384254,Pender County Schools
CIS of Cape Fear,Topsail Elementary,yes,710344,Pender,Hampstead,"17385 US Hwy 17, Hampstead, NC 28443",-77.679578,34.396447,Pender County Schools
CIS of Cape Fear,Topsail High School,yes,710342,Pender,Hampstead,"245 St. Johns Church Road, Hampstead, NC 28443",-77.681496,34.3954802,Pender County Schools
CIS of Cape Fear,Topsail Middle School,yes,710346,Pender,Hampstead,"17445 US Hwy 17, Hampstead, NC 28443",-77.6777047,34.3976419,Pender County Schools
CIS of Robeson County,Magnolia Elementary,yes,780344,Robeson,Lumberton,"10928 US 301 North, Lumberton, NC 28360",-79.003576,34.711353,Public Schools of Robeson County
CIS of Robeson County,Red Springs High,yes,780391,Robeson,Red Springs,"509 N Vance Street, Red Springs, NC 28377",-79.1866101,34.8231547,Public Schools of Robeson County
CIS of Randolph County,Archdale Elementary,yes,760304,Randolph,Archdale,"207 Trindale Rd, Archdale, NC 27263",-79.9752,35.912816,Randolph County
CIS of Randolph County,Hopewell Elementary,yes,760329,Randolph,Trinity,"6294 Welborn Road, Trinity, NC 27370",-80.0085799,35.8627377,Randolph County
CIS of Randolph County,Trindale Elementary,yes,760368,Randolph,Archdale,"400 Balfour Dr, Archdale, NC 27263",-79.9634223,35.9012214,Randolph County
CIS of Randolph County,Trinity Elementary,yes,760376,Randolph,Trinity,"5457 Braxton Craven Rd, Trinity, NC 27370",-79.984278,35.893227,Randolph County
CIS of Randolph County,Trinity High,yes,760380,Randolph,Trinity,"5746 Trinity High School Rd, Trinity, NC 27370",-79.9979648,35.8938723,Randolph County
CIS of Randolph County,Wheatmore High,yes,760388,Randolph,Trinity,"3678 Finch Farm Rd, Trinity, NC 27370",-80.0068526,35.8292659,Randolph County
CIS of Randolph County,ArchdaleTrinity Middle,yes,760378,Randolph,Trinity,"5105 Archdale Road, Trinity, NC 27370",-79.9541564,35.8859827,Randolph County
CIS of Randolph County,Randleman Elementary School,yes,760344,Randolph,Randleman,"100 Swaim St, Randleman, NC 27317",-79.8008688,35.8095834,Randolph County
CIS of Randolph County,New Market Elementary School,yes,760336,Randolph,Sophia,"6096 US Hwy 311, Sophia, NC 27350",-79.865819,35.832616,Randolph County
CIS of Randolph County,Farmer Elementary,yes,760320,Randolph,Asheboro,"3557 Grange Hall Rd, Asheboro, NC 27205",-79.971027,35.641768,Randolph County
CIS of Randolph County,John Lawrence Elementary,yes,760330,Randolph,High Point,"6068 Suits Road , High Point, NC 27263",-79.9249834,35.8897995,Randolph County
CIS of Randolph County,Braxton Craven Middle,yes,760308,Randolph,Trinity,"7037 NC Highway 62, Trinity, NC 27370",-79.9925544,35.8937115,Randolph County
CIS of Randolph County,Coleridge Elementary,yes,760316,Randolph,Ramseur,"4528 NC Hwy 22 South, Ramseur, NC 27316",-79.6177607,35.6444468,Randolph County
CIS of Randolph County,Franklinville Elementary,yes,760324,Randolph,Franklinville,"162 Pine St, Franklinville, NC 27248",-79.693213,35.747311,Randolph County
CIS of Randolph County,Grays Chapel Elementary,yes,760328,Randolph,Franklinville,"5322 NC Hwy 22 N, Franklinville, NC 27248",-79.699221,35.820788,Randolph County
CIS of Randolph County,Level Cross Elementary,yes,760331,Randolph,Randleman,"5417 Old Greensboro Road, Randleman, NC 27317",-79.7908853,35.8584793,Randolph County
CIS of Randolph County,Liberty Elementary,yes,760332,Randolph,Liberty,"206 N Fayetteville St, Liberty, NC 27298",-79.570385,35.855369,Randolph County
CIS of Randolph County,Northeastern Randolph Middle,yes,760338,Randolph,Liberty,"3493 Ramseur Julian Road, Liberty, NC 27298",-79.6461755,35.8231744,Randolph County
CIS of Randolph County,Ramseur Elementary,yes,760340,Randolph,Ramseur,"6755 Jordan Road, Ramseur, NC 27316",-79.6536069,35.738977,Randolph County
CIS of Randolph County,Randleman High School,yes,760348,Randolph,Randleman,"4396 Tigers Den Rd, Randleman, NC 27317",-79.8209494,35.8265666,Randolph County
CIS of Randolph County,Randleman Middle School,yes,760352,Randolph,Randleman,"800 High Point St, Randleman, NC 27317",-79.819674,35.8249473,Randolph County
CIS of Randolph County,Seagrove Elementary,yes,760356,Randolph,Seagrove,"528 Old Plank Rd, Seagrove, NC 27341",-79.7759957,35.544885,Randolph County
CIS of Randolph County,Southeastern Randolph Middle,yes,760357,Randolph,Ramseur,"5302 Foushee Rd, Ramseur, NC 27316",-79.6349089,35.728567,Randolph County
CIS of Randolph County,Southmont Elem School,yes,760359,Randolph,Asheboro,"2497 Southmont School Road, Asheboro, NC 27205",-79.834551,35.6455032,Randolph County
CIS of Randolph County,Southwest Randolph Middle,yes,760360,Randolph,Asheboro,"1509 Hopewell Friends Rd, Asheboro, NC 27205",-79.866718,35.622592,Randolph County
CIS of Randolph County,Southwestern Randolph High,yes,760358,Randolph,Asheboro,"1641 Hopewell Friends Rd, Asheboro, NC 27205",-79.870065,35.6235497,Randolph County
CIS of Randolph County,Tabernacle Elementary,yes,760364,Randolph,Asheboro,"4901 Tabernacle School Rd, Asheboro, NC 27205",-79.965637,35.733883,Randolph County
CIS of Randolph County,Uwharrie Ridge School,yes,760382,Randolph,Trinity,"1463 Pleasant Union Road, Trinity, NC 27370",-79.9911257,35.718544,Randolph County
CIS of Robeson County,CIS Academy,yes,78A000,Robeson,Pembroke,"818 West 3rd Street, Pembroke, NC 28372",-79.2037479,34.6864203,Robeson County
CIS of Robeson County,Prospect Elementary,yes,780384,Robeson,Maxton,"4024 Missouri Road, Maxton, NC 28364",-79.2324041,34.7326052,Robeson County
CIS of Robeson County,Purnell Swett,yes,780420,Robeson,Pembroke,"11344 Deep Branch Road, Pembroke, NC 28372",-79.2467008,34.695558,Robeson County
CIS of North Carolina (Direct Service),Reidsville Middle School,yes,790374,Rockingham,Reidsville,"1903 S Park Dr, Reidsville, NC 27320",-79.6804677,36.3284462,Rockingham County Schools
CIS of Rowan County,Hanford Dole Elementary School,yes,800359,Rowan,Salisbury,"465 Choate Rd, Salisbury, NC 28146",-80.4254179,35.6694699,Rowan Salisbury Schools
CIS of Rowan County,Knox Middle School,yes,800363,Rowan,Salisbury,"1625 Park Rd W, Salisbury, NC 28144",-80.4774078,35.6861006,Rowan Salisbury Schools
CIS of Rowan County,Henderson Independent High School,yes,800308,Rowan,Salisbury,"1215 North Main St, Salisbury, NC 28144",-80.456432,35.676846,Rowan Salisbury Schools
CIS of Rowan County,Hurley Elementary School,yes,800360,Rowan,Salisbury,"625 Hurley School Rd, Salisbury, NC 28147",-80.55868,35.6995689,Rowan Salisbury Schools
CIS of Rowan County,North Rowan Middle School,yes,800377,Rowan,Spencer,"512 Charles St, Spencer, NC 28159",-80.4261323,35.7016359,Rowan-Salisbury Schools
CIS of Thomasville,Liberty Drive Elementary School,yes,292316,Davidson,Thomasville,"401 Liberty Drive, Thomasville, NC 27360",-80.064539,35.878658,Thomasville City Schools
CIS of Thomasville,Thomasville High School,yes,292324,Davidson,Thomasville,"410 Unity Street, Thomasville, NC 27360",-80.075723,35.900516,Thomasville City Schools
CIS of Thomasville,Thomasville Middle School,yes,292320,Davidson,Thomasville,"400 Unity Street, Thomasville, NC 27360",-80.0787454,35.8994555,Thomasville City Schools
CIS of Thomasville,Thomasville Primary School,yes,292318,Davidson,Thomasville,"915 E Sunrise Avenue, Thomasville, NC 27360",-80.0599535,35.8762035,Thomasville City Schools
CIS of Wake County,Durant Road Middle School,yes,920399,Wake,Castle Hayne,"10401 Durant Rd, Raleigh, NC 27614",-78.588241,35.902378,Wake County Public Schools
CIS of Wake County,SCORE Academy,yes,920556,Wake,Raleigh,"4600 New Bern Ave, Raleigh, NC 27610",-78.559004,35.797592,Wake County Public Schools
CIS of Wake County,Ligon Magnet Middle,yes,920472,Wake,Raleigh,"706 E Lenoir St, Raleigh, NC 27601",-78.626538,35.772179,Wake County Public Schools
CIS of North Carolina (Direct Service),Weldon High,yes,422315,Halifax,Weldon,"415 County Road, Weldon, NC 27890",-77.6108078,36.4131869,Weldon City Schools
CIS of Northwest North Carolina,East Wilkes Middle School,yes,970322,Wilkes,Ronda,"2202 Macedonia Church Road, Ronda, NC 28670",-80.9320924,36.2470078,Wilkes County School
CIS of Northwest North Carolina,Traphill Elementary School,yes,970376,Wilkes,Traphill,"9794 Traphill Rd, Traphill, NC 28685",-81.028789,36.34727,Wilkes County School
CIS of Northwest North Carolina,Central Wilkes Middle School,yes,970315,Wilkes,Moravian Falls,"3541 North Old North Carolina Highway 16 , Moravian Falls, NC 28654",-81.1771787,36.0939615,Wilkes County Schools
CIS of Northwest North Carolina,CB Eller Elementary School,yes,970310,Wilkes,Elkin,"1288 Cb Eller School Road , Elkin, NC 28621",-80.889261,36.276196,Wilkes County Schools
CIS of Northwest North Carolina,CC Wright Elementary School,yes,970312,Wilkes,North Wilkesboro,"200 C C Wright School Road , North Wilkesboro, NC 28659",-81.1052277,36.1380109,Wilkes County Schools
CIS of Northwest North Carolina,Central Wilkes Middle School,yes,970315,Wilkes,Moravian Falls,"3541 North Old North Carolina Highway 16 , Moravian Falls, NC 28654",-81.1771787,36.0939615,Wilkes County Schools
CIS of Northwest North Carolina,Boomer Ferguson Elementary School,yes,970308,Wilkes,Boomer,"556 Boomer-Ferguson Sch Rd, Boomer, NC 28606",-81.298392,36.100955,Wilkes County Schools
CIS of Northwest North Carolina,East Wilkes High School,yes,970320,Wilkes,Ronda,"13315 Elkin Hwy 268, Ronda, NC 28670",-80.9275798,36.2268971,Wilkes County Schools
CIS of Northwest North Carolina,Millers Creek Elementary School,yes,970337,Wilkes,Millers Creek,"4320 North NC Hwy 16, Millers Creek, NC 28651",-81.2437256,36.2069166,Wilkes County Schools
CIS of Northwest North Carolina,Moravian Falls Elementary School,yes,970340,Wilkes,Moravian Falls,"2001 Moravian Falls Rd, Moravian Falls, NC 28654",-81.1821781,36.0982128,Wilkes County Schools
CIS of Northwest North Carolina,Mountain View Elementary School,yes,970348,Wilkes,Hays,"5464 Mountain View Rd, Hays, NC 28635",-81.1160644,36.2486906,Wilkes County Schools
CIS of Northwest North Carolina,Mt. Pleasant Elementary School,yes,970344,Wilkes,Ferguson,"532 Champion Mt Pleasant Rd, Ferguson, NC 28624",-81.3258015,36.1491173,Wilkes County Schools
CIS of Northwest North Carolina,Mulberry Elementary School,yes,970352,Wilkes,North Wilkesboro,"190 Mulberry School Rd, North Wilkesboro, NC 28659",-81.1789055,36.2364154,Wilkes County Schools
CIS of Northwest North Carolina,North Wilkes High School,yes,970356,Wilkes,Hays,"2986 Traphill Rd, Hays, NC 28635",-81.0983591,36.2824651,Wilkes County Schools
CIS of Northwest North Carolina,North Wilkes Middle School,yes,970358,Wilkes,North Wilkesboro,"2776 Yellow Banks Road, North Wilkesboro, NC 28659",-81.1498353,36.2631367,Wilkes County Schools
CIS of Northwest North Carolina,North Wilkesboro Elementary School,yes,970360,Wilkes,North Wilkesboro,"200 Flint Hill Rd, North Wilkesboro, NC 28659",-81.140448,36.178693,Wilkes County Schools
CIS of Northwest North Carolina,Roaring River Elementary School,yes,970368,Wilkes,Roaring River,"283 White Plains Rd, Roaring River, NC 28669",-81.0033584,36.2079466,Wilkes County Schools
CIS of Northwest North Carolina,Ronda Clingman Elementary School,yes,970370,Wilkes,Ronda,"316 Ronda-Clingman School Rd, Ronda, NC 28670",-80.934479,36.205139,Wilkes County Schools
CIS of Northwest North Carolina,West Wilkes High School,yes,970388,Wilkes,Millers Creek,"6598 Boone Trail, Millers Creek, NC 28651",-81.2596211,36.1858833,Wilkes County Schools
CIS of Northwest North Carolina,West Wilkes Middle School,yes,970389,Wilkes,Wilkesboro,"1677 North NC Hwy 16, Wilkesboro, NC 28697",-81.2411836,36.1694871,Wilkes County Schools
CIS of Northwest North Carolina,Wilkes Central High School,yes,970390,Wilkes,Wilkesboro,"1179 Moravian Falls Rd, Wilkesboro, NC 28697",-81.1756953,36.1159631,Wilkes County Schools
CIS of Northwest North Carolina,Wilkes Early College High School,yes,970393,Wilkes,Wilkesboro,"1328 S Collegiate Dr, Wilkesboro, NC 28697",-81.1827759,36.137136,Wilkes County Schools
CIS of Northwest North Carolina,Wilkesboro Elementary School,yes,970392,Wilkes,Wilkesboro,"1248 School St, Wilkesboro, NC 28697",-81.176487,36.13371,Wilkes County Schools
